word_id;preferred_NL;variant1;variant2;variant3;variant4;variant5;variant6;variant7
445;Teëphibis;Teephibis;;;;;;
446;Tutu;Tithoës;Toutou;Tithoes;Tithoès;toutou-tithoès;;
447;Uurgoden;;;;;;;
448;Ahmose Nefertari;Ahmose Nofretari;;;;;;
449;Aït;;;;;;;
450;Anoekis;anukis;anoukis;anoekis;anuket;anoeket;anouket;
451;Inpoet;;;;;;;
452;Maät;maat;maät;;;;;
453;Meschenet;meskhenet;meschenet;meskhent;;;;
454;Nebetoe;;;;;;;
455;Nechbet;nechbet;nekhbet;;;;;
456;Nehmetawy;;;;;;;
457;Noet;nut;nout;noet;nût;;;
458;Pachet;;;;;;;
459;Raït;;;;;;;
460;Raïttawy;;;;;;;
461;Sechat-Hor;;;;;;;
462;Sechet;sechet;sekhet;;;;;
463;Sechmet;sakhmet;sechmet;sekhmet;sachmet;;;
464;Sesjat;seshat;sesjat;;;;;
465;Sjentaït;;;;;;;
466;Sjepset;;;;;;;
467;Sjesmetet;shesemtet;schesemtet;shesmetet;;;;
468;Taït;tait;taït;;;;;
469;Werethekaoe;weret-hekau;werethekau;;;;;
470;Baäl;baal;baral;;;;;
471;Hoeroen;hauron;hurun;houroun;harmakhis;harmachis;;
472;Mitras;;;;;;;
473;Resjef;reshef;resjef;reshep;resheph;resep;;
474;Isjtar;;;;;;;
475;Kadesj;kadesh;kadesch;kadesj;qadesh;qadesj;kadesj;qadech
476;Agathodaimon;;;;;;;
477;Asclepius-Imhotep;;;;;;;
478;Serapis;serapis;sarapis;;;;;
479;epigrafie;;;;;;;
480;orthografie;;;;;;;
481;prosopografie;;;;;;;
